WKT;Gemeinde;PLZ;Adresse Gemeindeamt;Lat;Lon;osm_id;name;location/substation;substation/voltage;access/operator;Polit. Gemeinde;distance
MULTILINESTRING ((498781.566587084 5341122.96340198,503557.09731282 5332607.39793134));N�chling;3691;Unterer Markt 1;48,2233293;14,9835952;30076588;substation;Umspannwerk Ybbsfeld;"220000;110000";;St. Martin-Karlsbach;9763,224314
MULTILINESTRING ((551502.111363814 5355786.54890345,552231.779005247 5360328.51317384));Nu�dorf_ob_der_Traisen;3134;Marktplatz 1;48,3531543;15,6951782;47001881;substation;Umspannwerk Theiß;"380000;110000";EVN;Gedersdorf;4600,20155
MULTILINESTRING ((540471.305606436 5333204.64931191,545650.925529928 5328807.09879154));Ober-Grafendorf;3200;Hauptplatz 2;48,1508023;15,54413207;321946617;substation;Umspannwerk Wilhelmsburg;;EVN;Wilhelmsburg;6794,62384
MULTILINESTRING ((516281.511836937 5323576.67604275,509992.25777215 5328638.23432837));Oberndorf_an_der_Melk;3281;Hauptstra�e 9;48,0652594;15,2185398;128228754;substation;Umspannwerk Wieselburg-Land (i.b.);;;Wieselburg-Land;8073,047068
MULTILINESTRING ((626653.54125279 5347159.8141436,629743.02375817 5347266.27828595));Obersiebenbrunn;2283;Hauptplatz 11;48,264977;16,7066571;671588826;substation;Umspannwerk Untersiebenbrunn (i.b.);;;Untersiebenbrunn;3091,316348
MULTILINESTRING ((598532.186688072 5314656.68429115,602604.345242865 5314148.10230151));Oberwaltersdorf;2522;Badenerstra�e 24;47,97762395;16,32032754;122669259;substation;Umspannwerk Ebreichsdorf;110000;;Ebreichsdorf;4103,794699
MULTILINESTRING ((544019.046823969 5348934.41547296,552802.325164936 5348170.76549941));Obritzberg-Rust;3123;Marktstra�e 14;48,2920772;15,593462;119428954;substation;Umspannwerk Herzogenburg (i.b.);;;Herzogenburg;8816,413086
MULTILINESTRING ((485013.644578612 5327603.87950362,485982.075833861 5323294.83429887));Oed-Oehling;3361;Mostviertelplatz 1;48,1015239;14,7987031;30222212;substation;Umspannwerk Ulmerfeld-Hausmening;110000;EVN;Amstetten;4416,529143
MULTILINESTRING ((486816.148765903 5302644.44513656,480722.734061937 5315033.5917806));Opponitz;3341;Hauslehen 21;47,8769997;14,8236808;96855956;substation;Umspannwerk Gerstl;110000;;Sonntagberg;13806,544
MULTILINESTRING ((626710.894585326 5333950.90677162,633651.482561956 5342638.49818779));Orth_an_der_Donau;2304;Am Markt 26;48,1461795;16,7034849;329923256;substation;Umspannwerk Lassee;;EVN;Lasse;11119,62257
MULTILINESTRING ((516393.314504473 5363323.74039543,517850.003045043 5368984.83979065));Ottenschlag;3631;Oberer Markt 22;48,4228504;15,22157961;90866864;substation;Umspannwerk Sallingberg;110000;;Sallingberg;5845,51006
MULTILINESTRING ((615992.906423771 5401832.55588522,620039.813322047 5390434.16769948));Ottenthal;2163;Ottenthal 194;48,75869075;16,5782634;80855358;substation;Umspannwerk Poysdorf;110000;;Poysdorf;12095,48299
MULTILINESTRING ((570582.48890151 5274771.46087921,570048.568443631 5279373.52213075));Otterthal;2880;Otterthal 31;47,62249965;15,93937431;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;4632,929831
MULTILINESTRING ((634297.253011652 5383960.60344666,632629.820581465 5385204.50777335));Palterndorf-Dobermannsdorf;2182;Hauptstra�e 60;48,59431495;16,82139535;96616299;substation;Umspannwerk Neusiedl an der Zaya;110000;;Neusiedl an der Zaya;2080,295384
MULTILINESTRING ((617808.300088484 5348487.01245731,620459.367227897 5355185.91406213));Parbasdorf;2232;Parbasdorf 32;48,2786198;16,5878866;123444716;substation;Umspannwerk Bockfließ;110000;EVN;Bockfließ;7204,404187
MULTILINESTRING ((546013.805600141 5355834.50152637,544872.167151988 5361673.36285132));Paudorf;3508;Kremser Stra�e 185;48,3540095;15,6211068;94239516;substation;Umspannwerk Mitterau (i.b.);110000;EVN;Krems an der Donau;5949,423495
MULTILINESTRING ((564755.703550739 5282414.40229833,570048.568443631 5279373.52213075));Payerbach;2673;Ortsplatz 7;47,6918697;15,8629681;96989592;substation;Umspannwerk Hart;110000;;Gloggnitz;6104,209283
