wkt_geom;osm_id;cables;name;voltage;wires;ref;operator;length
LineString (13.53524880000000152 46.91319250000000096, 13.53532150000000023 46.91320639999999997, 13.53542850000000008 46.91322690000000506, 13.53552080000000046 46.91324449999999047, 13.53555590000000031 46.9132511999999906);701037504;1.0;;110000;0;;;24,28
LineString (13.53527020000000114 46.91312750000000165, 13.53534800000000082 46.91314159999999589, 13.53545420000000199 46.91316090000000116, 13.53554819999999914 46.91317800000000204, 13.53558270000000086 46.91318429999999751);701037503;1.0;;110000;0;;;24,62
LineString (13.53536549999999927 46.91309909999998951, 13.53534800000000082 46.91314159999999589, 13.53532150000000023 46.91320639999999997);701037500;1.0;;110000;0;;;12,39
LineString (14.52542509999999965 46.73253139999999917, 14.52535360000000253 46.73262409999999534, 14.52532180000000217 46.73266530000000074, 14.52526630000000196 46.73273719999998832);684639073;1.0;;110000;0;;;25,89
LineString (14.42113160000000072 46.66768040000000184, 14.42096770000000205 46.66773709999999653);684265845;1.0;;110000;1;112/6;KNG-Kärnten Netz GmbH;14,03
LineString (14.42096770000000205 46.66773709999999653, 14.42104470000000127 46.66762140000000159);684265844;1.0;;110000;1;112/5;KNG-Kärnten Netz GmbH;14,14
LineString (14.42078619999999844 46.66761100000000084, 14.42094700000000174 46.66755899999999713);684265843;1.0;;110000;1;112/5;KNG-Kärnten Netz GmbH;13,59
LineString (14.42078619999999844 46.66761100000000084, 14.42085920000000243 46.66749810000000309);684265842;1.0;;110000;1;112/4;KNG-Kärnten Netz GmbH;13,73
LineString (14.42085920000000243 46.66749810000000309, 14.42105030000000099 46.66736020000000451, 14.42117719999999892 46.66726869999999394, 14.42125030000000052 46.66721600000000336);684265849;1.0;;110000;0;;;43,33
LineString (14.42094700000000174 46.66755899999999713, 14.42114160000000211 46.66741819999999308, 14.42126580000000047 46.66732830000000121, 14.42133899999999791 46.66727540000000829);684265848;1.0;;110000;0;;;43,5
