WKT;full_id;osm_id;osm_type;generator_;generato_1;generato_2;generato_3;power;ref;generato_4;barrier;name;ele;plant_sour;access;constructi;height;operator;entrance;waterway;proposed;plant_meth;plant_outp;disused;man_made;location_t;marker;mount;pipeline_r;position;substance;utility;start_date;website;wikidata;maxheight;maxwidth;construc_1;height_hub;manufactur;manufact_1;rotor_diam;amenity;hiking;informatio;map_size;map_type;tourism;frequency;voltage;camera_ang;camera_dir;camera_mou;camera_typ;operator_t;surveillan;surveill_1;surveill_2
POINT (17.0461764 47.8368303);n2123478268;2123478268;node;wind_turbine;;3 MW;wind;generator;W-06973-012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.008702 47.8374317);n2123478269;2123478269;node;wind_turbine;;3 MW;wind;generator;W-06973-026;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0393702 47.8387694);n2123478271;2123478271;node;wind_turbine;;3 MW;wind;generator;W-06973-011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0268211 47.8389338);n2123478282;2123478282;node;wind_turbine;;3 MW;wind;generator;W-06973-017;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0169918 47.8391101);n2123478286;2123478286;node;wind_turbine;;3 MW;wind;generator;W-06973-024;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (16.9957311 47.8401989);n2123478289;2123478289;node;wind_turbine;;3 MW;wind;generator;W-06973-029;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0325052 47.8404104);n2123478293;2123478293;node;wind_turbine;;3 MW;wind;generator;W-06973-010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0093142 47.8416696);n2123478296;2123478296;node;wind_turbine;;3 MW;wind;generator;W-06973-023;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0025337 47.8417479);n2123478299;2123478299;node;wind_turbine;;3 MW;wind;generator;W-06973-025;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0200644 47.842278);n2123478301;2123478301;node;wind_turbine;;3 MW;wind;generator;W-06973-016;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POINT (17.0266232 47.8434537);n2123478302;2123478302;node;wind_turbine;;3 MW;wind;generator;W-06973-009;horizontal_axis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
